Tanggal,Tahun,Bulan,T_avg,RH_avg,RR,Prediction_base_on_RH,Prediction_base_on_T
2020-02-19,2020,2,27.5,83.0,17.7,24.159284659178795,17.186349213866293
2020-02-20,2020,2,27.1,87.0,31.0,25.535834073930257,20.583174807290902
2020-02-21,2020,2,28.0,82.0,57.0,23.815147305490928,12.940317222085497
2020-02-22,2020,2,28.1,84.0,56.8,24.50342201286666,12.091110823729338
2020-02-23,2020,2,28.3,84.0,125.7,24.50342201286666,10.392698027017019
2020-02-24,2020,2,28.6,81.0,6.6,23.47100995180306,7.845078831948541
2020-02-25,2020,2,27.1,88.0,277.5,25.879971427618123,20.583174807290902
2020-02-26,2020,2,28.6,80.0,3.0,23.126872598115195,7.845078831948541
2020-02-27,2020,2,28.48,77.18,22.0,0.0,29.924445189208654
2020-02-28,2020,2,27.4,88.0,31.5,25.879971427618123,18.035555612222453
2020-02-29,2020,2,27.3,91.0,0.6,26.912383488681723,18.884762010578584
2020-03-01,2020,3,27.7,89.0,12.0,14.403454551434564,9.557970354175353
2020-03-02,2020,3,28.7,81.0,63.6,7.82826461140408,4.333267558228101
2020-03-03,2020,3,28.8,79.0,0.0,6.184467126396456,3.8107972786333733
2020-03-04,2020,3,28.5,82.0,0.0,8.6501633539079,5.378208117417557
2020-03-05,2020,3,28.0,79.0,19.6,6.184467126396456,7.990559515391169
2020-03-06,2020,3,28.8,78.0,2.0,5.362568383892651,3.8107972786333733
2020-03-07,2020,3,28.8,73.0,0.0,1.2530746713735965,3.8107972786333733
2020-03-08,2020,3,28.6,77.0,0.0,4.540669641388838,4.855737837822829
2020-03-09,2020,3,29.7,71.0,0.0,0.0,0.0
2020-03-10,2020,3,30.1,71.0,0.0,0.0,0.0
2020-03-11,2020,3,29.6,78.0,0.0,5.362568383892651,0.0
2020-03-12,2020,3,27.6,85.0,7.7,11.115859581419329,10.080440633770081
2020-03-13,2020,3,28.5,76.0,29.2,3.718770898885033,5.378208117417557
2020-03-14,2020,3,29.4,79.0,0.0,6.184467126396456,0.6759756010650335
2020-03-15,2020,3,29.3,80.0,2.0,7.006365868900275,1.1984458806597331
2020-03-16,2020,3,28.9,77.0,3.6,4.540669641388838,3.2883269990386452
2020-03-17,2020,3,28.9,78.0,4.8,5.362568383892651,3.2883269990386452
2020-03-18,2020,3,27.6,86.0,0.4,11.937758323923134,10.080440633770081
2020-03-19,2020,3,28.1,83.0,0.2,9.472062096411705,7.468089235796441
2020-03-20,2020,3,27.4,82.0,16.0,8.6501633539079,11.125381192959537
2020-03-21,2020,3,28.1,81.0,10.8,7.82826461140408,7.468089235796441
2020-03-22,2020,3,27.2,84.0,17.6,10.29396083891551,12.170321752148993
2020-03-23,2020,3,28.2,81.0,22.5,7.82826461140408,6.945618956201741
2020-03-24,2020,3,28.8,78.0,0.4,5.362568383892651,3.8107972786333733
2020-03-25,2020,3,28.4,81.0,0.3,7.82826461140408,5.900678397012285
2020-03-26,2020,3,28.8,78.0,0.0,5.362568383892651,3.8107972786333733
2020-03-27,2020,3,28.7,81.0,0.9,7.82826461140408,4.333267558228101
2020-03-28,2020,3,29.0,81.0,0.0,7.82826461140408,2.765856719443917
2020-03-29,2020,3,29.4,78.0,0.0,5.362568383892651,0.6759756010650335
2020-03-30,2020,3,27.7,84.0,0.0,10.29396083891551,9.557970354175353
2020-03-31,2020,3,28.1,84.0,7.1,10.29396083891551,7.468089235796441
2020-04-01,2020,4,28.1,80.0,21.5,8.840088538047716,10.002406470490683
2020-04-02,2020,4,29.8,73.0,0.0,2.9463413585862526,1.7147684986203728
2020-04-03,2020,4,29.3,77.0,0.1,6.314196889707084,4.1523090785822205
2020-04-04,2020,4,28.9,81.0,5.5,9.682052420827922,6.102341542551727
2020-04-05,2020,4,28.5,79.0,0.0,7.99812465526751,8.052374006521205
2020-04-06,2020,4,27.3,86.0,0.0,13.891871834728967,13.902471398429668
2020-04-07,2020,4,28.6,77.0,30.6,6.314196889707084,7.564865890528807
2020-04-08,2020,4,28.8,78.0,0.0,7.156160772487304,6.589849658544068
2020-04-09,2020,4,28.9,81.0,0.3,9.682052420827922,6.102341542551727
2020-04-10,2020,4,28.3,83.0,0.0,11.365980186388349,9.027390238505944
2020-04-11,2020,4,29.4,78.0,13.8,7.156160772487304,3.664800962589851
2020-04-12,2020,4,29.6,77.0,0.0,6.314196889707084,2.689784730605112
2020-04-13,2020,4,27.7,90.0,14.5,17.259727365849805,11.952438934460162
2020-04-14,2020,4,28.0,85.0,72.0,13.04990795194876,10.489914586483053
2020-04-15,2020,4,28.1,86.0,5.4,13.891871834728967,10.002406470490683
2020-04-16,2020,4,29.0,80.0,0.0,8.840088538047716,5.614833426559329
2020-04-17,2020,4,29.7,76.0,0.0,5.472233006926878,2.2022766146127424
2020-04-18,2020,4,28.7,77.0,0.0,6.314196889707084,7.077357774536466
2020-04-19,2020,4,29.6,76.0,0.0,5.472233006926878,2.689784730605112
2020-04-20,2020,4,30.0,78.0,0.0,7.156160772487304,0.7397522666356338
2020-04-21,2020,4,30.0,76.0,0.0,5.472233006926878,0.7397522666356338
2020-04-22,2020,4,30.4,70.0,0.0,0.4204497102456273,0.0
2020-04-23,2020,4,30.8,73.0,0.0,2.9463413585862526,0.0
2020-04-24,2020,4,29.3,77.0,0.0,6.314196889707084,4.1523090785822205
2020-04-25,2020,4,29.1,74.0,0.0,3.7883052413664657,5.12732531056696
2020-04-26,2020,4,29.4,77.0,0.0,6.314196889707084,3.664800962589851
2020-04-27,2020,4,27.7,84.0,13.5,12.207944069168555,11.952438934460162
2020-04-28,2020,4,27.8,82.0,1.2,10.524016303608143,11.464930818467792
2020-04-29,2020,4,28.3,78.0,4.4,7.156160772487304,9.027390238505944
2020-04-30,2020,4,28.6,82.0,0.0,10.524016303608143,7.564865890528807
2020-05-01,2020,5,28.8,80.0,0.0,7.543902439024379,5.763745360021915
2020-05-02,2020,5,27.1,85.0,0.0,13.056097560975587,14.332743252808456
2020-05-03,2020,5,29.3,76.0,1.0,3.1341463414634063,3.24345186214353
2020-05-04,2020,5,28.7,79.0,0.0,6.4414634146341285,6.267804059597609
2020-05-05,2020,5,29.6,76.0,1.6,3.1341463414634063,1.7312757634164768
2020-05-06,2020,5,29.6,79.0,0.0,6.4414634146341285,1.7312757634164768
2020-05-07,2020,5,30.2,72.0,0.2,0.0,0.0
2020-05-08,2020,5,30.2,73.0,0.0,0.0,0.0
2020-05-09,2020,5,28.4,82.0,0.0,9.748780487804865,7.779980158324662
2020-05-10,2020,5,28.8,81.0,1.0,8.646341463414615,5.763745360021915
2020-05-11,2020,5,29.3,78.0,0.0,5.3390243902438925,3.24345186214353
2020-05-12,2020,5,30.3,75.0,0.0,2.0317073170731703,0.0
2020-05-13,2020,5,29.9,79.0,3.8,6.4414634146341285,0.21909966468945186
2020-05-14,2020,5,29.4,76.0,0.0,3.1341463414634063,2.7393931625678647
2020-05-15,2020,5,30.0,70.0,0.0,0.0,0.0
2020-05-16,2020,5,30.2,70.0,0.0,0.0,0.0
2020-05-17,2020,5,29.9,75.0,0.0,2.0317073170731703,0.21909966468945186
2020-05-18,2020,5,28.2,84.0,0.0,11.953658536585337,8.788097557476021
2020-05-19,2020,5,28.7,76.0,12.8,3.1341463414634063,6.267804059597609
2020-05-20,2020,5,29.7,75.0,0.0,2.0317073170731703,1.2272170638408113
2020-05-21,2020,5,28.9,80.0,29.0,7.543902439024379,5.259686660446249
2020-05-22,2020,5,29.7,81.0,0.0,8.646341463414615,1.2272170638408113
